,Nz,figure,height,id,maxX,maxY,maxZ,minX,minY,minZ,oid,width,gabasynapse,glutsynapse,shaft,ConsensusNotSynapse,nofigure,edgesynapse,enface synapse,PSD positive,comments FC,comments MN
0,10,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/559.png,419.0,0,7131.0,6734.0,35,6766.0,6316.0,25,559,366.0,0,TRUE,0,0,FALSE,,,1,,
1,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/561.png,376.0,1,7535.0,5923.0,49,7171.0,5548.0,43,561,365.0,0,TRUE,0,0,FALSE,,,1,,
2,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/563.png,399.7,2,7579.6,7233.1,4,7258.4,6834.4,-1,563,322.2,0,TRUE,0,0,FALSE,,,,,
3,4,,1786.3,3,8470.7,7422.7,6,7349.0,5637.4,2,565,1122.7,0,TRUE,0,1,TRUE,,,,,
4,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/568.png,330.0,4,7657.0,5911.0,45,7289.0,5582.0,39,568,369.0,0,TRUE,1,0,FALSE,,,1,,
5,14,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/570.png,547.4,5,7852.9,7994.6,17,7518.9,7448.2,3,570,335.0,0,TRUE,1,0,FALSE,,,,,
6, ,,1384.2,6,8202.0,7457.0,22,4660.6,6073.8,3,572,3542.4,0,TRUE,0,1,TRUE,,,,,
7,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/574.png,317.7,7,8147.5,7216.0,14,7782.5,6899.3,8,574,366.0,0,TRUE,0,0,FALSE,,,,,
8,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/576.png,344.0,8,8378.0,7134.0,20,8027.0,6791.0,15,576,352.0,0,TRUE,0,0,FALSE,,,,,
9,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/579.png,364.0,9,7525.0,6049.0,41,7080.0,5686.0,37,579,446.0,0,TRUE,0,0,FALSE,,,,,
10,4,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/581.png,324.0,10,7265.0,5967.0,43,6925.0,5644.0,39,581,341.0,0,TRUE,0,0,FALSE,,,,,
11,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/583.png,327.0,11,7251.0,6047.0,37,6891.0,5721.0,31,583,361.0,0,TRUE,0,0,FALSE,,,,,
12,5,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/585.png,331.0,12,6153.0,6311.0,37,5835.0,5981.0,32,585,319.0,0,TRUE,0,0,FALSE,,,,,
13,6,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/587.png,312.0,13,6267.0,6245.0,35,5926.0,5934.0,29,587,342.0,0,TRUE,0,0,FALSE,,,0,,small snapse with some docked es
14,8,/nas3/data/M247514_Rorb_1/processed/Site3Synaptograms_v2/589.png,431.0,14,6609.0,6379.0,38,6162.0,5949.0,30,589,448.0,0,TRUE,0,0,FALSE,,,,,
